,song_state,song_artist,song_name,uris,duration_ms,popularity,date
191,New York,Thunder,"New York, New York [DVD]",error,error,error,error
192,New York,King Sun,Suck No Dick,error,error,error,error
193,New York,"Frederick-The-Great ""Mister Entertainment""",Going Home to New York City,spotify:track:7gjkl4zi7fbOr4hmWE1y63,376093,0,2011-11-24
194,New York,LCD Soundsystem,"New York, I Love You But You're Bringing Me Down",spotify:track:5rAff9XfcWx7rguN3t0fkW,335480,57,2007-03-12
195,New York,Jay-Z,Kingdom Come,spotify:track:03LlYPDjtLO3rBd1WaJ9aD,263520,44,2006-11-21
196,New York,Peter Allen,Arthur's Theme (Best That You Can Do),spotify:track:18kerikMDX5298koJPMpIj,262640,13,1985-01-01
197,New York,The Clash,Lightning Strikes (Not Once But Twice),spotify:track:4DmbZ96tQFGJKyDfAYe6cQ,291586,31,1980
198,New York,The Clash,Lightning Strikes (Not Once But Twice) [Live; Previously Unreleased Track],error,error,error,error
199,New York,Disney,"Once Upon a Time in New York City, song [From Oliver and Company]",error,error,error,error
200,New York,Gary Tesca,"Theme from New York, New York",spotify:track:4686lotRLn0FFwDOMhM7Ny,169039,0,2019-12-06
201,New York,Billy Joel,New York State Of Mind,spotify:track:6yjKlmm7vOszkXEUku1EM1,362400,61,1976-05-19
202,New York,The Cult,New York City,spotify:track:1aSEX86F7FY0ie0LdVwS0W,281306,31,1989
203,New York,Caitlin Rose,New York,spotify:track:03p8QKvEY9Fc5FeN349wx9,287440,7,2011-08-29
204,New York,Mel Tormé,Sunday in New York,spotify:track:2N67uPmmUq629fpBg4zxhT,151000,7,2000
205,New York,Wyclef Jean,Sang Fezi,spotify:track:49CzHdhNiYKBGZeQ9eFjhA,242493,40,1997-06-24
206,New York,Tony Bennett,New York State Of Mind,spotify:track:6HW3N8uqz6IMTXT7ffQzgi,409440,34,2011-03-08
207,New York,Bobby Short,I Happen to Like New York,spotify:track:47xiOR9Qfjr8z4aXlCCIwL,112960,34,1974
208,New York,The Toasters,New York Fever,spotify:track:2E3trbS49TAWZT5FpuDnEI,127706,14,1992-01-01
209,New York,Bobby Darin,Sunday in New York,spotify:track:6Zjn8lVcGsXPWdviZKj4Mk,150773,34,2009-01-01
210,New York,Bee Gees,Another Lonely Night in New York,spotify:track:4pKORPEVQvGGeiDohz4rzM,252680,1,2006-01-01
211,New York,Prince Don,2 Your Streets,spotify:track:49sJ4q573oI3QeVL4Z3HDh,160053,0,2013-11-20
212,New York,Danny D,NYC Beat,spotify:track:2wsKOmihCD40twUfkpS0Xj,444330,0,2011-04-12
213,New York,Cesare Cremonini,La Nuova Stella di Broadway,spotify:track:5dm8fSvcqqkcmlNf1clRqu,267746,23,2012-01-01
214,New York,Beastie Boys,Open Letter to NYC [Acappella],error,error,error,error
215,New York,Jay-Z,A Star Is Born,spotify:track:62ooTvljfhysGjIWmhpu9z,226920,48,2009-09-08
216,New York,"Jay-Z, J. Cole",A Star Is Born,spotify:track:62ooTvljfhysGjIWmhpu9z,226920,48,2009-09-08
217,New York,George Shearing,New York State of Mind,spotify:track:0a2RmqA1gFxQXUj1zHmU44,261360,0,2000-10-10
218,New York,Owl City,New York City,spotify:track:0troiK6tP7iO3pKF1J7M7A,224199,46,2018-06-01
219,New York,BOØWY,No. New York,spotify:track:1yQIfM9AdFCkvL7Cy0dDCQ,275400,0,2004-12-24
220,New York,艾敬,纽约纽约,spotify:track:1yQIfM9AdFCkvL7Cy0dDCQ,275400,0,2004-12-24
221,New York,Shinehead,Jamaican in New York,spotify:track:2CL1Q0rQcbKavqqzu3zjQ2,268973,44,1992
222,New York,Brian Evans,"New York, New York",spotify:track:3rSjnkl2jQgGY4SLXk3rop,199066,0,2006-03-12
223,New York,Joseph Saulter,"New York, New York",spotify:track:4C4N6OfHzI2gGG2GihiWmu,130680,26,2011-04-05
224,New York,Jeff the Drunk,New York New York,spotify:track:55roS0mbZais3TwEPeK3e6,285546,45,2001-01-01
225,New York,Adrian Bal,"New York, New York",spotify:track:4ogJX93IRa4fFK4KIQ6ugf,216866,0,2001-01-01
226,New York,"El Futuro Fuera de Órbita, Tracy McGrady",El Que No Salta Es Paco,spotify:track:0at0i3IClvCu98zKz7SHt0,248000,54,2020-04-17
227,New York,마마무,뉴욕 New York,error,error,error,error
228,New York,Gov't Mule,Down and Out in New York City,spotify:track:69zCRR3nhKfx8l2yoysAul,372293,24,2001-10-23
229,New York,The New Pornographers,The New Face of Zero and One,spotify:track:1ULPLKI5UK4xQOzPK1v1Nq,251200,18,2003-05-06
230,New York,Martha Wainwright,"New York, New York, New York",spotify:track:6Cruj4Ew8hEzIutAEnUNl2,309093,0,2004-01-01
231,New York,"Willy William, Cris Cab, Tefa & Moox",Englishman In New-York,spotify:track:5RvEM4JT9watyYUAqhtLzo,229160,24,2015-06-22
232,New York,Dillinger,Cocaine in My Brain,spotify:track:2Ykl0Rx2vw6rRBkTnrxOC7,308639,41,2006-08-24
233,New York,Art Garfunkel,A Heart in New York,spotify:track:05iPg44iQftuEjHXoXAlvT,191800,42,1981-08
234,New York,Huey Lewis,Once Upon a Time in New York City,spotify:track:2ZkscSH7WKKj8DaaJtXcws,231843,1,2011-02-11
