song_state,song_artist,song_name
New York,Cub,New York City
New York,Hello,New York Groove
New York,Hilary Duff,Wake Up
New York,The Gaslight Anthem,The Spirit of Jazz
New York,Yelawolf,Radioactive Introduction
New York,Raheem DeVaughn,Rude Boy Hip Hop
New York,"Kanye West, Estelle",American Boy [Brooks Remix]
New York,Black Star,Respiration
New York,Howie B,Respiration
New York,Antoine Rocks,Art School Girl
New York,Alcazar,Last Days of Disco
New York,John Brackeff,Englishman In New York
New York,Arthur & the Afters,Arthur's Theme
New York,Sportfreunde Stiller,Ich War Noch Niemals in New York
New York,Fiddler's Green,A Night In Dublin
New York,Udo Jürgens,Ich war noch niemals in New York
New York,RKVC,Are You Ready?
New York,The Smooth Jazz All Stars,Best In Me
New York,Bob Geresti,Arthur's Theme (Best That You Can Do)
New York,Trijntje Oosterhuis,Arthur's Theme (Best That You Can Do)
New York,George Nascimento,Arthur's Theme (Best That You Can Do)
New York,Martin Kershaw,Arthur's Theme
New York,Carl Doy,Arthur's Theme
New York,"Drakeo The Ruler, JoogSzn",R.I.P. Barneys
